panel,cluster_cn,cluster_en,source_stage,source_term_cn,source_term_en,target_stage,target_term_cn,target_term_en,edge_type,cooccurrence_count
a,老破小,Aging low-rise stock,trigger,电动自行车起火,E-bike,catalyst,楼道楼梯间堆物占用,Stairwell clutter,trigger_to_catalyst,6
a,老破小,Aging low-rise stock,trigger,充电过程异常起火,Charging anomaly,catalyst,楼道楼梯间堆物占用,Stairwell clutter,trigger_to_catalyst,2
a,老破小,Aging low-rise stock,trigger,其他,Others,catalyst,后厨油污明火环境,Grease-laden kitchens,trigger_to_catalyst,2
a,老破小,Aging low-rise stock,trigger,电动自行车起火,E-bike,catalyst,可燃物暴露堆积,Exposed combustibles,trigger_to_catalyst,2
a,老破小,Aging low-rise stock,trigger,电动自行车起火,E-bike,catalyst,地下空间烟热蓄积,Underground smoke/heat,trigger_to_catalyst,2
a,老破小,Aging low-rise stock,trigger,电气线路短路起火,Electrical short-circuit,catalyst,市场商铺货物密集,Dense market storage,trigger_to_catalyst,2
a,老破小,Aging low-rise stock,trigger,锂电池热失控起火,Li-battery thermal runaway,catalyst,楼内杂物堆积,In-building debris,trigger_to_catalyst,2
a,老破小,Aging low-rise stock,trigger,锂电池热失控起火,Li-battery thermal runaway,catalyst,楼道楼梯间堆物占用,Stairwell clutter,trigger_to_catalyst,2
a,老破小,Aging low-rise stock,trigger,充电过程异常起火,Charging anomaly,catalyst,后厨油污明火环境,Grease-laden kitchens,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,其他,Others,catalyst,可燃物暴露堆积,Exposed combustibles,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,其他,Others,catalyst,楼内杂物堆积,In-building debris,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,其他,Others,catalyst,楼道楼梯间堆物占用,Stairwell clutter,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,新能源汽车电池起火,NEV battery,catalyst,市场商铺货物密集,Dense market storage,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,新能源汽车电池起火,NEV battery,catalyst,楼内杂物堆积,In-building debris,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,机动车辆自燃起火,Motor-vehicle,catalyst,仓库堆场物料堆积,Warehouse stockpiling,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,机动车辆自燃起火,Motor-vehicle,catalyst,可燃物暴露堆积,Exposed combustibles,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,烟头遗留火种,Cigarette ignition,catalyst,可燃物暴露堆积,Exposed combustibles,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,烟头遗留火种,Cigarette ignition,catalyst,后厨油污明火环境,Grease-laden kitchens,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,烟头遗留火种,Cigarette ignition,catalyst,市场商铺货物密集,Dense market storage,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,烟花爆竹燃放引燃,Firework ignition,catalyst,地下空间烟热蓄积,Underground smoke/heat,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,燃气泄漏爆燃,Gas leak deflagration,catalyst,后厨油污明火环境,Grease-laden kitchens,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,燃气泄漏爆燃,Gas leak deflagration,catalyst,楼道楼梯间堆物占用,Stairwell clutter,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,燃气泄漏爆燃,Gas leak deflagration,catalyst,老旧线路持续带病运行,Deteriorated wiring,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,电动自行车起火,E-bike,catalyst,市场商铺货物密集,Dense market storage,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,电动自行车起火,E-bike,catalyst,楼内杂物堆积,In-building debris,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,电动车相关起火,EV-related,catalyst,后厨油污明火环境,Grease-laden kitchens,trigger_to_catalyst,1
a,老破小,Aging low-rise stock,trigger,电动车相关起火,EV-related,catalyst,楼道楼梯间堆物占用,Stairwell clutter,trigger_to_catalyst,1
