Figure,Panel,Public_file,Description,Variables,Unit,Public_scope,Notes
Figure 1,a,figure/figure1/README.md,Conceptual framework and analytical workflow,scope note,See data dictionary,conceptual schematic,
Figure 1,b,figure/figure1/README.md,Conceptual framework and analytical workflow,scope note,See data dictionary,conceptual schematic,
Figure 2,a,figure/figure2/a/Fig2a_city_fire_counts.csv,City counts or building-function counts and denominators,"city, building_count, fire_count, model_building_count, model_fire_count",See data dictionary,processed numerical source data,
Figure 2,a,figure/figure2/a/Fig2a_city_event_counts.csv,City counts or building-function counts and denominators,"city, fire_count",See data dictionary,processed numerical source data,
Figure 2,a,figure/figure2/a/Fig2a_displayed_function_composition.csv,City counts or building-function counts and denominators,"subset, source_category, display_category, count, display_denominator, percentage, display_percentage, excluded_category",See data dictionary,processed numerical source data,
Figure 2,a,figure/figure2/a/Fig2a_detailed_all_building_types.csv,City counts or building-function counts and denominators,"city, building_type, count, percentage",See data dictionary,processed numerical source data,
Figure 2,a,figure/figure2/a/Fig2a_detailed_fire_building_types.csv,City counts or building-function counts and denominators,"city, building_type, fire_count, percentage",See data dictionary,processed numerical source data,
Figure 2,a,figure/figure2/a/Fig2a_national_city_counts.csv,National city event counts,"rank, city_name, fire_count, is_four_target_city",events per city,processed numerical source data,
Figure 2,b,figure/figure2/b/Fig2b_city_summary.csv,City-level context for spatial fire-density analysis,"city, building_count, fire_count",See data dictionary,non-spatial aggregate summary,Precise event locations and KDE layers are not redistributed.
Figure 3,a,figure/figure3/a/Fig3a_age_fire_relationship.csv,"Age-bin counts, exposure and incidence for 2016–2025","city, age_bin, fire_count, exposure_building_years, normalized_fire_incidence_per_1000_building_years, observation_start_year, observation_end_year, scope",fires per 1000 building-years,processed numerical source data,
Figure 3,b,figure/figure3/b/bivariate_grid.csv,Beijing anonymous age/fire grid,"city, grid_row, grid_col, mean_building_age, building_count, fire_count, fire_metric, age_bin, fire_bin, bivariate_class",See data dictionary,processed numerical source data,Local grid indices do not encode a published geographic transform.
Figure 3,b,figure/figure3/b/class_counts.csv,Beijing bivariate class frequencies,"city, Age_Class, Fire_Class, Bi_Class, grid_count",grid cells,processed numerical source data,
Figure 3,c,figure/figure3/c/bivariate_grid.csv,Shanghai anonymous age/fire grid,"city, grid_row, grid_col, mean_building_age, building_count, fire_count, fire_metric, age_bin, fire_bin, bivariate_class",See data dictionary,processed numerical source data,Local grid indices do not encode a published geographic transform.
Figure 3,c,figure/figure3/c/class_counts.csv,Shanghai bivariate class frequencies,"city, Age_Class, Fire_Class, Bi_Class, grid_count",grid cells,processed numerical source data,
Figure 3,d,figure/figure3/d/bivariate_grid.csv,Guangzhou anonymous age/fire grid,"city, grid_row, grid_col, mean_building_age, building_count, fire_count, fire_metric, age_bin, fire_bin, bivariate_class",See data dictionary,processed numerical source data,Local grid indices do not encode a published geographic transform.
